ScientificName	AphiaID	ImageLink	Group
Cyrillia linearis	1389226	https://images.marinespecies.org/thumbs/139310_cyrillia-linearis.jpg?w=700	Gastropoda
Trapania maculata	140044	https://images.marinespecies.org/thumbs/48732_trapania-maculata.jpg?w=700	Gastropoda
Jujubinus striatus	141815	https://images.marinespecies.org/thumbs/70187_jujubinus-striatus-linnaeus-1758-specimen-from-canuelo-malaga-spain-actual-size-7-1-mm.jpg?w=700	Gastropoda
Jujubinus exasperatus	141807	https://images.marinespecies.org/thumbs/70184_jujubinus-exasperatus-pennant-1777-specimen-from-benalmadena-spain-actual-size-7-8-mm.jpg?w=700	Gastropoda
Noemiamea dolioliformis	140973	https://images.marinespecies.org/thumbs/67971_noemiamea-dolioliformis.jpg?w=700	Gastropoda
Rissoella opalina	141149	https://images.marinespecies.org/thumbs/58210_rissoella-opalina.jpg?w=700	Gastropoda
Tenuitellita iota	1567956	https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33dea9f8aa62b40cc987c9da43f7612be/640	Globothalamea
Beella digitata	113433	https://images.marinespecies.org/thumbs/38441_beella-digitata.jpg?w=700	Globothalamea
Globigerina falconensis	221249	https://images.marinespecies.org/thumbs/38449_globigerina-falconensis.jpg?w=700	Globothalamea
Globigerina bulloides	113434	https://images.marinespecies.org/thumbs/38448_globigerina-bulloides.jpg?w=700	Globothalamea
Globigerinella calida	418106	https://ids.si.edu/ids/deliveryService/id/ark:/65665/m337a732472bbc411d92c7918f6dabd6a9/640	Globothalamea
Globigerinella siphonifera	113440	https://images.marinespecies.org/thumbs/38446_globigerinella-siphonifera.jpg?w=700	Globothalamea
Globigerinoides ruber	113444	https://images.marinespecies.org/thumbs/38443_globigerinoides-ruber.jpg?w=700	Globothalamea
Globigerinoides tenellus	418107	https://www.mikrotax.org/images/pf_cat/G/Globigerinoides/Globigerinoides%20tenella/tenella(G)_USNM6129_holo.jpg	Globothalamea
Globoturborotalita rubescens	113454	https://www.mikrotax.org/images/pf_cenozoic/Globigerinidae/Globoturborotalita/Globoturborotalita%20rubescens/LoeblichTappan%201994%20pl208%2004-6.JPG	Globothalamea
Orbulina universa	113460	https://images.marinespecies.org/thumbs/45227_orbulina-universa.jpg?w=700	Globothalamea
Trilobatus sacculifer	1026286	https://images.marinespecies.org/thumbs/38445_globigerinoides-sacculifer.jpg?w=700	Globothalamea
Turborotalita quinqueloba	113462	https://images.marinespecies.org/thumbs/38453_turborotalita-quinqueloba.jpg?w=700	Globothalamea
